UNOME,QTDE
SZELIGA,2
FORMIGA,62
GAZANIGA,1
SINIGA,1
ZUNIGA,7
ESPIGA,1
RIGA,1
CATABRIGA,1
NOBRIGA,1
BARRIGA,13
FILARTIGA,1
ORTIGA,2
URTIGA,4
POSTIGA,1
VIGA,3
TALGA,1
BELGA,3
POLGA,1
PULGA,1
GANGA,4
NGANGA,1
MUCHANGA,1
LANGA,4
FALANGA,1
TSHIMANGA,1
MARANGA,1
PIRANGA,1
IPIRANGA,2
BORANGA,1
URANGA,1
PITANGA,16
WAENGA,2
FIENGA,1
VALENGA,3
FILENGA,1
GAZMENGA,1
ZANENGA,1
ALVARENGA,293
ZENGA,1
CORINGA,3
BATINGA,5
TAGUATINGA,1
CAPITINGA,1
PETITINGA,2
UTINGA,1
BROZINGA,2
BRUZINGA,1
DONGA,1
LONGA,2
CALONGA,1
COSTALONGA,8
PONGA,1
VILARONGA,2
BOJUNGA,1
LUNGA,1
CALUNGA,1
COLUNGA,1
MAPURUNGA,4
OGA,1
BOGA,2
TABOGA,1
MAGOGA,5
KOGA,24
ANTLOGA,1
NOGA,2
STONOGA,3
PEDROGA,1
QUEIROGA,64
QUIROGA,8
SOGA,1
LARGA,1
PARGA,1
TARGA,10
VARGA,2
TERGA,1
VERGA,1
ALVERGA,3
ORGA,1
BORGA,2
TABORGA,1
THEORGA,1
GORGA,5
LORGA,1
TORGA,7
MAYORGA,1
MURGA,2
RUESGA,1
MISGA,1
OSGA,1
UGA,1
KLIAUGA,1
KATAUGA,1
VALDUGA,6
FEUGA,1
FUGA,2
PITALUGA,5
PITTALUGA,4
SCHLUGA,1
NOUGA,3
VOUGA,1
PUGA,6
RUGA,1
TARTARUGA,1
MADRUGA,72
CAIRUGA,2
URUGA,1
SUGA,1
KASUGA,1
HACHISUGA,1
KASSUGA,2
KOSSUGA,1
BERTUGA,1
OZGA,2
JAHA,3
BLAHA,1
SAMAHA,1
GANAHA,1
TAMANAHA,2
PIRAHA,1
TAHA,1
ZAHA,2
CHA,2
BACHA,5
BARABACHA,1
CHACHA,1
PACHA,6
HUARACHA,1
WACHA,1
MAHECHA,1
PIECHA,1
FLECHA,1
RIVAFLECHA,1
KOLECHA,1
CORECHA,2
TRECHA,2
AICHA,1
BAREICHA,1
LAVNCHICHA,1
LICHA,1
MICHA,1
RICHA,3
PALCHA,1
OLCHA,1
PANCHA,1
PECHINCHA,1
VINCHA,1
CONCHA,1
PONCHA,1
DOCHA,1
GALOCHA,1
CZERNOCHA,1
AROCHA,3
PENARROCHA,1
SOCHA,1
TOCHA,1
WARZOCHA,1
BARCHA,1
PATRIARCHA,5
MONARCHA,1
LOSCHA,1
TSCHA,2
HATSCHA,1
UCHA,1
MUCHA,1
AROUCHA,17
BRUCHA,1
ZAVERUCHA,1
CARRUCHA,1
SUCHA,2
JEHA,1
ZAGHA,1
WARGHA,1
IHA,6
DAIHA,4
DEANHAIHA,1
FRAIHA,7
FREIHA,1
SHEIKHA,2
BARBALHA,1
ESQUINCALHA,1
MEDALHA,3
GALHA,1
ALMOHALHA,1
QUINALHA,1
VERNALHA,1
PALHA,11
RALHA,1
GRALHA,5
MIRALHA,5
SERRALHA,2
PETRALHA,1
SALHA,4
BATALHA,61
TRAVALHA,1
ABELHA,5
GADELHA,130
GUEDELHA,3
FONTICIELHA,1
OVELHA,1
ILHA,33
BILHA,1
TORRECILHA,2
MANCILHA,2
BOBADILHA,3
SEGADILHA,4
PADILHA,235
PANDILHA,1
FARDILHA,1
FILHA,86
ESCAMILHA,1
CANILHA,1
QUINTANILHA,43
BONILHA,15
BAUNILHA,1
BUNILHA,1
AMARILHA,1
GUARILHA,3
TRILHA,4
MANSILHA,3
CASSILHA,1
PLATILHA,1
MATILHA,1
MONTILHA,1
BASTILHA,1
CASTILHA,4
CASQUILHA,1
VILHA,1
CAVILHA,1
MARAVILHA,1
SEVILHA,6
ERVILHA,9
SERVILHA,3
FOLHA,9
CANAFOLHA,1
PAMPOLHA,4
GARBULHA,1
GRAFULHA,2
DAMHA,1
GEMHA,2
BANHA,2
CABANHA,3
CANHA,7
FACANHA,60
PECANHA,60
FICANHA,1
OCANHA,3
SALDANHA,186
VALDANHA,1
MENDANHA,12
AVENDANHA,2
FANHA,1
BAGANHA,3
MAGANHA,3
CARINHANHA,1
CARIANHA,1
ROMANHA,1
SCARMANHA,1
NORMANHA,1
CAMPANHA,14
ESPANHA,1
ARANHA,92
MARANHA,3
GUARANHA,1
GRANHA,2
LAGRANHA,3
PIRANHA,1
PESSANHA,91
BRETANHA,2
MONTANHA,19
BERTANHA,1
CASTANHA,10
LATAVANHA,1
SALVANHA,1
BONICENHA,1
TAGLIALENHA,1
GAMENHA,1
LAMENHA,3
JURUMENHA,1
PENHA,169
RENHA,2
MASCARENHA,4
BRENHA,4
DISSENHA,1
GATENHA,1
DUENHA,2
BENTIVENHA,1
ZENHA,3
AZENHA,3
ROMAGNHA,1
CAMPAINHA,1
RAINHA,4
CAMBRAINHA,1
FONTAINHA,4
UBINHA,1
CABACINHA,1
BOUCINHA,1
CADINHA,1
PESCADINHA,2
PADINHA,3
CAVADINHA,1
VIDINHA,3
SANDINHA,1
SARDINHA,60
ROCHINHA,1
VALINHA,1
PARDELINHA,1
PORTELINHA,5
BELLINHA,1
VELLINHA,1
CAMINHA,35
GRAMINHA,2
ALMOINHA,1
PINHA,11
FARINHA,16
MARINHA,2
CAMARINHA,8
CABRINHA,2
SOBRINHA,10
PEDRINHA,2
FERREIRINHA,2
SENHORINHA,1
BARRINHA,1
BANDARRINHA,1
ESPARRINHA,1
SERRINHA,1
TERRINHA,1
TORRINHA,3
ROSINHA,3
BATATINHA,2
BOTINHA,2
CURTINHA,1
COSTINHA,1
RASQUINHA,2
VINHA,6
PIANTAVINHA,2
SUAVINHA,2
ONHA,1
CARDONHA,1
BIGONHA,4
BOLONHA,4
MEDRONHA,2
NORONHA,201
ZAMPRONHA,1
TONHA,3
BERTONHA,1
ACUNHA,6
GUNHA,1
CATALUNHA,1
ARISTIMUNHA,2
CHANDOHA,1
SAPHA,1
MUSTAPHA,1
MYRRHA,1
THA,1
OGATHA,1
BALTHA,1
JOTHA,1
MARTHA,10
WARTHA,2
ORTHA,1
MURTHA,1
DUHA,2
SHUHA,1
PERESZLUHA,1
MASSRUHA,2
TSUHA,1
TUHA,1
WHA,1
FRAYHA,4
BAIA,67
MARAMBAIA,2
TOCAIA,1
BISCAIA,8
CAMANDUCAIA,1
SAPUCAIA,5
BALDAIA,2
FAIA,1
MALAFAIA,18
ALFAIA,21
GAIA,46
SAMAGAIA,1
BRAGAIA,1
MIRAGAIA,1
ANHAIA,5
INHAIA,1
IAIA,1
PIAIA,11
GOUSSEVSKAIA,2
LAIA,18
PALAIA,1
DELAIA,1
LOLAIA,1
BORTOLAIA,2
DANQUIMAIA,1
OMAIA,1
LINTZMAIA,1
ANAIA,1
MANAIA,1
TRINTINAIA,1
QUINAIA,1
RAIA,5
LARAIA,1
MARAIA,1
BRAIA,1
CAMBRAIA,27
LAFRAIA,2
GRAIA,3
SKORAIA,1
PRAIA,7
SAIA,3
ISAIA,5
MASSAIA,1
PASSAIA,3
PISSAIA,3
SAUAIA,4
ALVAIA,1
ZAIA,4
BIA,1
SARABIA,1
SABIA,3
HEREBIA,1
ARANCIBIA,1
ARENCIBIA,2
ESTIGARRIBIA,7
ALCOBIA,1
CENOBIA,1
ARBIA,1
CONTURBIA,1
INUBIA,1
RUBIA,4
LARRUBIA,3
TUBIA,1
CIA,1
OCACIA,1
CALACIA,2
PESSALACIA,1
CAPACIA,1
GRACIA,5
CACCIA,2
SCACCIA,1
FOGACCIA,1
MUCCIACCIA,1
VERNARECCIA,1
SGRECCIA,1
BOCCIA,3
MARCOCCIA,1
POCCIA,1
CUCCIA,1
LUCCIA,2
PUCCIA,1
LARUCCIA,1
DECIA,2
VERDECIA,2
IGLECIA,2
GRECIA,1
ERQUECIA,1
GALICIA,1
CAMICIA,1
MERICIA,1
PATRICIA,1
VENANCIA,1
MIGLORANCIA,1
BONTANCIA,1
PACIENCIA,1
VALENCIA,7
CLEMENCIA,1
PROENCIA,1
LOURENCIA,1
ATENCIA,2
OLIVENCIA,2
ERDOCIA,1
PALOCIA,1
CARROCIA,1
ARCIA,2
BARCIA,5
TARCIA,1
MUGUERCIA,1
QUERCIA,2
MURCIA,2
MASCIA,3
RESCIA,1
BRESCIA,3
VESCIA,1
BOSCIA,1
COSCIA,1
BAUCIA,1
LUCIA,16
SANTALUCIA,1
VANDERLUCIA,1
BOMUCIA,1
BADIA,5
ABADIA,7
DABADIA,1
LABBADIA,1
OBADIA,3
GADIA,2
NADIA,1
BONADIA,1
DONADIA,3
CHIARADIA,2
GRADIA,1
ALVADIA,1
CEDDIA,1
HEREDIA,19
SALDIA,2
CANDIA,15
GANDIA,1
VELANDIA,1
