UNOME,QTDE
HUHOLD,1
BECHTOLD,1
PATZOLD,1
MARCHAND,1
LAND,1
ROLAND,1
BRAND,1
HILLEBRAND,1
CHEVRAND,1
RECHTAND,1
BEND,1
DRUMMOND,3
ARMOND,1
ORMOND,1
DRUMOND,6
CHIMPLIGANOND,1
HEDLUND,1
MUND,1
BROD,1
HOMEROD,1
CRAWFORD,1
ABUD,1
AMUD,1
MAMUD,1
ABOUD,2
ABBOUD,2
JACCOUD,1
MAHFOUD,1
SERMOUD,1
MAKSOUD,1
FAE,1
THOMAE,1
NACHABE,1
TANABE,1
WATANABE,3
BARNABE,1
ARABE,2
TOEBE,2
AGBE,1
CAMARAGIBE,1
DUAILIBE,5
CAPIBARIBE,1
GARIBE,1
BALBE,3
SCHWALBE,1
ZAMBE,1
LACOMBE,1
KOBE,1
ISOBE,1
JUBE,1
LUBE,1
FAILLACE,1
PACE,3
MEDICE,1
CANTALICE,1
SANFELICE,1
QUILICE,1
CHAPADENCE,1
PONCE,2
NOCE,1
PEARCE,1
DURCE,1
LUCE,1
ABADE,2
ABBADE,2
PIEDADE,2
CIDADE,2
FELICIDADE,1
CARIDADE,1
NATIVIDADE,5
TRINDADE,48
VERDADE,1
CHEADE,1
FRADE,3
SADE,1
ZIDDE,1
BEDE,2
BIGUIDEDE,1
CANTANHEDE,9
MAMEDE,6
ZEDE,1
ROHDE,1
IDE,1
AIDE,1
HUBAIDE,1
ATHAIDE,1
ATAIDE,12
ORGAMBIDE,1
WEIDE,1
GOMIDE,8
DEVIDE,1
MANGUALDE,1
ELIZALDE,1
FERNANDE,1
GRANDE,5
CASAGRANDE,6
RESENDE,37
REZENDE,62
CONDE,8
ORMONDE,1
MAJACUNDE,1
KUNDE,1
BEDERODE,1
BOCARDE,1
DARDE,1
VERDE,5
VILLAVERDE,1
LIMAVERDE,1
VALVERDE,2
ARCOVERDE,4
SKOLAUDE,1
ATHAYDE,5
LEE,4
FE,2
CAFE,1
BONAFE,1
ROIFE,1
BOCAGE,1
HAGE,1
BIAGE,1
LAGE,16
DELAGE,1
MESSAGE,1
SERRIDGE,1
MEREGE,1
JAEGGE,1
LANGE,2
MUSTRANGE,1
HENGE,1
JUENGE,2
ENTRINGE,1
LESTINGE,1
MONGE,1
GEORGE,1
JORGE,22
BOETTGE,1
KLUGE,1
ARBACHE,1
PACHE,1
RECHE,1
REICHE,1
ROSCOCHE,1
KOCHE,1
HASCHE,1
FRITSCHE,2
GAUCHE,1
AROUCHE,3
MARRUCHE,1
HABEYCHE,1
ROEHE,1
MITTEROFHE,1
CADILHE,1
ANHE,1
THE,2
ABIZETHE,1
KOTHE,1
MOURTHE,1
DELABIE,1
FACIE,1
DASSIE,1
STRONZAKE,1
MACKE,1
GELBCKE,1
BESEKE,1
KLAFKE,1
POERSCHKE,1
NITSCHKE,1
HENTSCHKE,1
ELHKE,1
KOIKE,1
BALKE,1
ENGELKE,1
DAHLKE,1
BOHLKE,1
DAMKE,2
LEMKE,1
FRANKE,2
HENKE,1
MENKE,1
REINKE,1
VINKE,1
FUNKE,1
GOKE,1
KESKE,1
LESKE,2
TESKE,1
GARSKE,1
LUDTKE,2
SCHMITKE,1
WAUKE,1
UTIYKE,1
LEITZKE,1
BRITZKE,1
GOTZKE,1
BRACALE,1
DOMINICALE,1
MEGALE,1
DINATALE,1
VALE,47
STAVALE,1
GHAZALE,1
NAEGELE,1
CHIELE,1
WIELE,1
FONTENELE,12
FONTINELE,2
FRAILE,1
STABILE,2
NOBILE,1
BASILE,1
GENTILE,1
ZILE,1
GALLE,1
GRALLE,1
VALLE,19
BARAVALLE,1
