PNOME,QTDE,PERC
RAMON,297,0.0460
ELTON,295,0.0457
CLARISSA,295,0.0457
LUZIA,294,0.0455
RAUL,292,0.0452
HELDER,291,0.0451
NAYARA,290,0.0449
ADEMIR,289,0.0448
SEVERINO,289,0.0448
VALMIR,287,0.0445
ALMIR,286,0.0443
AILTON,284,0.0440
CHRISTIANE,283,0.0438
SIDNEY,283,0.0438
RACHEL,281,0.0435
DENIS,281,0.0435
DEISE,281,0.0435
ANNE,281,0.0435
JACKSON,276,0.0428
SAMARA,274,0.0425
GIOVANA,273,0.0423
TAIS,273,0.0423
ALISSON,272,0.0421
ADRIANE,272,0.0421
JOYCE,271,0.0420
CARINA,270,0.0418
EMANUEL,270,0.0418
CLOVIS,269,0.0417
CELIO,269,0.0417
REBECA,268,0.0415
CLARICE,268,0.0415
MARLI,268,0.0415
RAISSA,267,0.0414
JOSUE,266,0.0412
JANETE,265,0.0411
ISRAEL,264,0.0409
RUI,262,0.0406
PAMELA,261,0.0404
CAMILLA,260,0.0403
MARLON,260,0.0403
NARA,260,0.0403
CLEIDE,260,0.0403
ADALBERTO,256,0.0397
ISADORA,255,0.0395
TERESA,255,0.0395
ITALO,253,0.0392
CYNTHIA,253,0.0392
VILMA,250,0.0387
VITORIA,247,0.0383
ARMANDO,245,0.0380
SHIRLEY,245,0.0380
MARCEL,244,0.0378
VAGNER,244,0.0378
JUAREZ,243,0.0376
ROSILENE,243,0.0376
NUBIA,242,0.0375
MANUEL,241,0.0373
DANIELLA,241,0.0373
OSMAR,241,0.0373
KEILA,239,0.0370
JULIANE,237,0.0367
ROSELI,234,0.0363
MARISTELA,234,0.0363
MARIANE,233,0.0361
CLARA,230,0.0356
MELISSA,226,0.0350
ISMAEL,226,0.0350
IVONE,226,0.0350
RUTH,224,0.0347
EVERALDO,223,0.0345
MANUELA,223,0.0345
ELLEN,223,0.0345
JOELMA,222,0.0344
ANDREZA,222,0.0344
ELZA,221,0.0342
ELIZABETE,220,0.0341
MOACIR,220,0.0341
ELISABETE,219,0.0339
ERICK,219,0.0339
HAMILTON,217,0.0336
LAURO,217,0.0336
BRENDA,217,0.0336
