UNOME,QTDE,PERC
VIDIGAL,45,0.0070
RAFAEL,45,0.0070
ZANINI,45,0.0070
PARANHOS,45,0.0070
LIBERATO,45,0.0070
BELTRAME,44,0.0068
SUAREZ,44,0.0068
WOLFF,44,0.0068
PETRY,44,0.0068
ESTEVAO,44,0.0068
TAVORA,44,0.0068
JULIO,44,0.0068
CAMPELLO,44,0.0068
ALBERTO,44,0.0068
MACENA,44,0.0068
NOVO,44,0.0068
AMADO,44,0.0068
GRILLO,44,0.0068
ZANETTI,44,0.0068
LARANJEIRA,43,0.0067
NUNEZ,43,0.0067
NICACIO,43,0.0067
VELHO,43,0.0067
ARGOLO,43,0.0067
PAVAN,43,0.0067
CUTRIM,43,0.0067
BENETTI,43,0.0067
HIRATA,43,0.0067
BRILHANTE,43,0.0067
NOVA,43,0.0067
LUCCA,43,0.0067
VILARINHO,43,0.0067
CANCADO,43,0.0067
QUINTANILHA,43,0.0067
JUSTO,43,0.0067
FLORIANO,43,0.0067
PAVAO,43,0.0067
ONOFRE,43,0.0067
REAL,42,0.0065
PERDIGAO,42,0.0065
BENITES,42,0.0065
BRESSAN,42,0.0065
LAVOR,42,0.0065
VILACA,42,0.0065
VICTOR,42,0.0065
AGRA,42,0.0065
MALDONADO,42,0.0065
LIMEIRA,42,0.0065
CASTILLO,42,0.0065
EDUARDO,42,0.0065
THEODORO,42,0.0065
CESARIO,42,0.0065
MAEDA,42,0.0065
ITO,42,0.0065
DRUMMOND,41,0.0064
SALGUEIRO,41,0.0064
GRANGEIRO,41,0.0064
PORTILHO,41,0.0064
QUINTAO,41,0.0064
OMENA,41,0.0064
AGOSTINI,41,0.0064
CONTE,41,0.0064
GONZALES,41,0.0064
MAGNO,41,0.0064
PAMPLONA,41,0.0064
CASSOL,41,0.0064
CIRINO,40,0.0062
ROSSETTO,40,0.0062
BIANCHINI,40,0.0062
GENTIL,40,0.0062
COHEN,40,0.0062
ZANON,40,0.0062
GAVA,40,0.0062
RITTER,40,0.0062
RAYMUNDO,40,0.0062
ANASTACIO,40,0.0062
ESTEVAM,40,0.0062
WALTER,40,0.0062
LOMBARDI,40,0.0062
CLEMENTINO,40,0.0062
DAVILA,40,0.0062
BARONI,40,0.0062
MILAGRES,40,0.0062
BOLZAN,40,0.0062
NATIVIDADE,40,0.0062
SPINELLI,40,0.0062
NEUMANN,39,0.0060
LOYOLA,39,0.0060
SCHULTZ,39,0.0060
MANSO,39,0.0060
CANEDO,39,0.0060
MARIZ,39,0.0060
NEGRI,39,0.0060
DOMINGUEZ,39,0.0060
MARINO,39,0.0060
TOSTA,39,0.0060
HERCULANO,39,0.0060
CARLI,39,0.0060
VERDE,39,0.0060
NAZARETH,39,0.0060
HERRERA,39,0.0060
POVOA,39,0.0060
MUNDIM,39,0.0060
HADDAD,39,0.0060
ABRAO,38,0.0059
HIGA,38,0.0059
COURA,38,0.0059
BRAUN,38,0.0059
YAMADA,38,0.0059
RIGO,38,0.0059
NARDI,38,0.0059
LOURES,38,0.0059
LINDOSO,37,0.0057
CABRERA,37,0.0057
CORNELIO,37,0.0057
SANDES,37,0.0057
MORATO,37,0.0057
DURAES,37,0.0057
SALVIANO,37,0.0057
RORIZ,37,0.0057
PITA,37,0.0057
BARREIRO,37,0.0057
CURADO,37,0.0057
KATO,37,0.0057
FRADE,37,0.0057
QUEVEDO,37,0.0057
CLARO,37,0.0057
HORN,37,0.0057
ARRAES,37,0.0057
SANTANNA,36,0.0056
PROCOPIO,36,0.0056
EUGENIO,36,0.0056
ABDALLA,36,0.0056
KRAUSE,36,0.0056
ZEFERINO,36,0.0056
TIMOTEO,36,0.0056
BOECHAT,36,0.0056
SEBASTIAO,36,0.0056
QUEIROS,36,0.0056
PIO,36,0.0056
ACCIOLY,36,0.0056
AMERICO,36,0.0056
ARAKAKI,36,0.0056
PORTES,35,0.0054
BARROZO,35,0.0054
LIBORIO,35,0.0054
ALMADA,35,0.0054
MANOEL,35,0.0054
SANTORO,35,0.0054
BEVILAQUA,35,0.0054
GURJAO,35,0.0054
NOLASCO,35,0.0054
BERGER,35,0.0054
CAMINHA,35,0.0054
GIMENES,35,0.0054
PRAXEDES,35,0.0054
BERTO,35,0.0054
FAVACHO,35,0.0054
GATTI,35,0.0054
CONRADO,35,0.0054
VEGA,35,0.0054
VICENTINI,35,0.0054
ALBERNAZ,35,0.0054
SANTIN,35,0.0054
