PNOME,QTDE,PERC
DEISE,31,0.048501916607994994
NORMA,31,0.048501916607994994
RODOLFO,31,0.048501916607994994
CASSIA,31,0.048501916607994994
SARA,31,0.048501916607994994
GISELLE,30,0.04693733865289838
CAIO,30,0.04693733865289838
ADEMAR,30,0.04693733865289838
MATHEUS,30,0.04693733865289838
EDER,30,0.04693733865289838
OTAVIO,30,0.04693733865289838
SABRINA,30,0.04693733865289838
ROMULO,30,0.04693733865289838
CONCEICAO,30,0.04693733865289838
CECILIA,30,0.04693733865289838
IVONE,30,0.04693733865289838
MANUEL,30,0.04693733865289838
FILIPE,30,0.04693733865289838
GLORIA,30,0.04693733865289838
VALDEMIR,30,0.04693733865289838
VIVIAN,30,0.04693733865289838
VANDERLEI,29,0.045372760697801766
CHARLES,29,0.045372760697801766
MARGARETH,29,0.045372760697801766
EVERTON,29,0.045372760697801766
ELIZABETE,29,0.045372760697801766
AFONSO,29,0.045372760697801766
SUZANA,29,0.045372760697801766
NUBIA,29,0.045372760697801766
IVANILDO,29,0.045372760697801766
CLARICE,28,0.043808182742705155
OSMAR,28,0.043808182742705155
MARISA,28,0.043808182742705155
JULIANO,28,0.043808182742705155
MAGDA,28,0.043808182742705155
NEUSA,28,0.043808182742705155
ROSEMARY,28,0.043808182742705155
IVO,28,0.043808182742705155
WALDIR,28,0.043808182742705155
MARY,28,0.043808182742705155
TATIANE,28,0.043808182742705155
ELISANGELA,28,0.043808182742705155
ELSON,28,0.043808182742705155
EDISON,27,0.04224360478760854
ADAO,27,0.04224360478760854
EDNALDO,27,0.04224360478760854
CASSIO,27,0.04224360478760854
ELISABETE,27,0.04224360478760854
ELZA,27,0.04224360478760854
VILMAR,27,0.04224360478760854
RAUL,27,0.04224360478760854
SARAH,27,0.04224360478760854
RENAN,27,0.04224360478760854
ROSE,26,0.040679026832511934
ISRAEL,26,0.040679026832511934
EDIVALDO,26,0.040679026832511934
ITAMAR,26,0.040679026832511934
ERALDO,26,0.040679026832511934
ISMAEL,26,0.040679026832511934
ALCIDES,26,0.040679026832511934
MIRIAN,25,0.03911444887741532
EUGENIO,25,0.03911444887741532
MAYARA,25,0.03911444887741532
VANDA,25,0.03911444887741532
CATIA,25,0.03911444887741532
APARECIDA,25,0.03911444887741532
TALITA,25,0.03911444887741532
SHIRLEY,25,0.03911444887741532
SAULO,25,0.03911444887741532
ALLAN,25,0.03911444887741532
ARMANDO,25,0.03911444887741532
EVALDO,25,0.03911444887741532
JEFERSON,25,0.03911444887741532
CLARA,24,0.03754987092231871
AMAURI,24,0.03754987092231871
MAIRA,24,0.03754987092231871
CRISTIANA,24,0.03754987092231871
AMARILDO,24,0.03754987092231871
DALVA,24,0.03754987092231871
EDINALDO,24,0.03754987092231871
NEIDE,24,0.03754987092231871
DENILSON,24,0.03754987092231871
RACHEL,24,0.03754987092231871
VALDECI,24,0.03754987092231871
AGNALDO,24,0.03754987092231871
ARTUR,24,0.03754987092231871
ELISABETH,23,0.03598529296722209
INGRID,23,0.03598529296722209
HAROLDO,23,0.03598529296722209
LUCIMAR,23,0.03598529296722209
NATHALIA,23,0.03598529296722209
DANIELLA,23,0.03598529296722209
MARGARIDA,23,0.03598529296722209
NARA,23,0.03598529296722209
JAILTON,23,0.03598529296722209
PABLO,23,0.03598529296722209
HUDSON,23,0.03598529296722209
JANIO,23,0.03598529296722209
ALTAIR,23,0.03598529296722209
GELSON,23,0.03598529296722209
LIDIANE,23,0.03598529296722209
WANDERLEY,23,0.03598529296722209
MILENA,23,0.03598529296722209
ISABELLA,23,0.03598529296722209
DARIO,23,0.03598529296722209
IEDA,23,0.03598529296722209
NILO,22,0.03442071501212548
LAURO,22,0.03442071501212548
EUNICE,22,0.03442071501212548
JARBAS,22,0.03442071501212548
VALDECIR,22,0.03442071501212548
DENIZE,22,0.03442071501212548
MARISTELA,22,0.03442071501212548
CLARISSA,22,0.03442071501212548
LAERCIO,22,0.03442071501212548
ROSILENE,21,0.03285613705702886
MATEUS,21,0.03285613705702886
CARINA,21,0.03285613705702886
COSME,21,0.03285613705702886
UBIRAJARA,21,0.03285613705702886
ROSELI,21,0.03285613705702886
MARLUCE,21,0.03285613705702886
ISAIAS,21,0.03285613705702886
RUBEM,21,0.03285613705702886
LAZARO,21,0.03285613705702886
DAIANE,21,0.03285613705702886
MAX,21,0.03285613705702886
MONIQUE,21,0.03285613705702886
MARLY,21,0.03285613705702886
LEDA,21,0.03285613705702886
HELEN,21,0.03285613705702886
EMANUEL,21,0.03285613705702886
AMARO,21,0.03285613705702886
SIDNEI,21,0.03285613705702886
ARLINDO,21,0.03285613705702886
ELI,20,0.03129155910193226
IVANA,20,0.03129155910193226
RUY,20,0.03129155910193226
ANDREZA,20,0.03129155910193226
JOSEFA,20,0.03129155910193226
ADRIANE,20,0.03129155910193226
IRENE,20,0.03129155910193226
MARGARETE,20,0.03129155910193226
FABIOLA,20,0.03129155910193226
IRACEMA,20,0.03129155910193226
SORAYA,20,0.03129155910193226
ELTON,20,0.03129155910193226
TERESINHA,20,0.03129155910193226
MARILDA,20,0.03129155910193226
JOSIANE,20,0.03129155910193226
JAILSON,20,0.03129155910193226
WILTON,19,0.02972698114683564
NEWTON,19,0.02972698114683564
HELDER,19,0.02972698114683564
LAIS,19,0.02972698114683564
ALOISIO,19,0.02972698114683564
JOSIMAR,19,0.02972698114683564
KAREN,19,0.02972698114683564
KARINE,19,0.02972698114683564
WESLEY,19,0.02972698114683564
JACKSON,19,0.02972698114683564
OSCAR,19,0.02972698114683564
DURVAL,19,0.02972698114683564
MARIZA,19,0.02972698114683564
ROQUE,19,0.02972698114683564
UBIRATAN,19,0.02972698114683564
EDILENE,18,0.02816240319173903
JURANDIR,18,0.02816240319173903
EDMAR,18,0.02816240319173903
CARMEM,18,0.02816240319173903
FAUSTO,18,0.02816240319173903
INES,18,0.02816240319173903
VILSON,18,0.02816240319173903
ROGER,18,0.02816240319173903
EVA,18,0.02816240319173903
JAMES,18,0.02816240319173903
RINALDO,18,0.02816240319173903
JOSEMAR,18,0.02816240319173903
TARCISIO,18,0.02816240319173903
DAYSE,18,0.02816240319173903
GIVALDO,18,0.02816240319173903
BRENO,18,0.02816240319173903
MARTHA,18,0.02816240319173903
ALEXANDRA,18,0.02816240319173903
CLAUDETE,18,0.02816240319173903
MARCILIO,18,0.02816240319173903
MESSIAS,18,0.02816240319173903
WALMIR,17,0.026597825236642413
SEVERINA,17,0.026597825236642413
IVETE,17,0.026597825236642413
MAGNO,17,0.026597825236642413
JESUS,17,0.026597825236642413
AURELIO,17,0.026597825236642413
ELCIO,17,0.026597825236642413
ALDO,17,0.026597825236642413
EMILIA,17,0.026597825236642413
ULISSES,17,0.026597825236642413
ARLETE,17,0.026597825236642413
RAPHAEL,17,0.026597825236642413
VAGNER,17,0.026597825236642413
NAYARA,17,0.026597825236642413
ALISSON,17,0.026597825236642413
ELIZEU,17,0.026597825236642413
MANUELA,17,0.026597825236642413
ELIZETE,17,0.026597825236642413
ELIEZER,17,0.026597825236642413
RUTH,17,0.026597825236642413
DIVINO,17,0.026597825236642413
LIA,17,0.026597825236642413
CEZAR,17,0.026597825236642413
ISAAC,16,0.025033247281545802
ELIEL,16,0.025033247281545802
MARCEL,16,0.025033247281545802
TAIS,16,0.025033247281545802
CYNTHIA,16,0.025033247281545802
SUELLEN,16,0.025033247281545802
ALUISIO,16,0.025033247281545802
IONE,16,0.025033247281545802
IZAIAS,16,0.025033247281545802
JERONIMO,16,0.025033247281545802
NEUZA,16,0.025033247281545802
ELIETE,16,0.025033247281545802
MARISE,16,0.025033247281545802
YURI,16,0.025033247281545802
AMILTON,16,0.025033247281545802
IOLANDA,16,0.025033247281545802
MARIANE,16,0.025033247281545802
JESSE,16,0.025033247281545802
CLEONICE,16,0.025033247281545802
ESTER,16,0.025033247281545802
GERALDA,16,0.025033247281545802
LUDMILA,16,0.025033247281545802
GEORGIA,16,0.025033247281545802
GETULIO,16,0.025033247281545802
JUSCELINO,16,0.025033247281545802
ERNANI,16,0.025033247281545802
SEBASTIANA,16,0.025033247281545802
LOURDES,16,0.025033247281545802
DAMIAO,16,0.025033247281545802
ARY,15,0.02346866932644919
ITALO,15,0.02346866932644919
JOSAFA,15,0.02346866932644919
BENEDITA,15,0.02346866932644919
SAMARA,15,0.02346866932644919
REGIS,15,0.02346866932644919
EDMUNDO,15,0.02346866932644919
JOELMA,15,0.02346866932644919
RAISSA,15,0.02346866932644919
WALDEMAR,15,0.02346866932644919
SYLVIA,15,0.02346866932644919
JAYME,15,0.02346866932644919
JEANE,15,0.02346866932644919
JUREMA,15,0.02346866932644919
APARECIDO,15,0.02346866932644919
RONALD,15,0.02346866932644919
MARILZA,15,0.02346866932644919
DENIS,15,0.02346866932644919
NELIO,15,0.02346866932644919
SALVADOR,15,0.02346866932644919
ALEXANDER,15,0.02346866932644919
YARA,15,0.02346866932644919
ZELIA,15,0.02346866932644919
AGENOR,15,0.02346866932644919
DIRCEU,15,0.02346866932644919
DAIANA,15,0.02346866932644919
SUELEN,15,0.02346866932644919
CAMILLA,14,0.021904091371352578
IRIS,14,0.021904091371352578
MAURILIO,14,0.021904091371352578
PAOLA,14,0.021904091371352578
WALLACE,14,0.021904091371352578
EVELINE,14,0.021904091371352578
ROSALINA,14,0.021904091371352578
VALDEMAR,14,0.021904091371352578
RUBIA,14,0.021904091371352578
REBECA,14,0.021904091371352578
ERICK,14,0.021904091371352578
GENIVALDO,14,0.021904091371352578
ALYSSON,14,0.021904091371352578
MARLON,14,0.021904091371352578
RAFAELLA,14,0.021904091371352578
GLAUCO,14,0.021904091371352578
ELLEN,14,0.021904091371352578
FRANKLIN,14,0.021904091371352578
EMANOEL,14,0.021904091371352578
THALITA,14,0.021904091371352578
ALDA,14,0.021904091371352578
CATARINA,14,0.021904091371352578
WLADIMIR,14,0.021904091371352578
ROMILDO,14,0.021904091371352578
ADELINO,14,0.021904091371352578
AGUINALDO,14,0.021904091371352578
VLADIMIR,14,0.021904091371352578
EXPEDITO,14,0.021904091371352578
DILSON,14,0.021904091371352578
LEVI,13,0.020339513416255967
MARIANGELA,13,0.020339513416255967
WILLIAN,13,0.020339513416255967
WILMA,13,0.020339513416255967
DIOGENES,13,0.020339513416255967
AUREA,13,0.020339513416255967
ROSIMAR,13,0.020339513416255967
EDIMAR,13,0.020339513416255967
AGOSTINHO,13,0.020339513416255967
OLGA,13,0.020339513416255967
MARIVALDO,13,0.020339513416255967
MARCELINO,13,0.020339513416255967
VIRGILIO,13,0.020339513416255967
ELEN,13,0.020339513416255967
OSWALDO,13,0.020339513416255967
HELENO,13,0.020339513416255967
ELINE,13,0.020339513416255967
ROSSANA,13,0.020339513416255967
FABIANE,13,0.020339513416255967
JURACI,13,0.020339513416255967
FABRICIA,13,0.020339513416255967
LUISA,13,0.020339513416255967
ROBERVAL,13,0.020339513416255967
TADEU,13,0.020339513416255967
NILZA,13,0.020339513416255967
VITORIA,13,0.020339513416255967
GIOVANA,13,0.020339513416255967
