UNOME,QTDE,PERC,PAIS,LETRAS,REV,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15
SAMPAIO,102,0.1596,,7,OIAPMAS,O,I,A,P,M,A,S,,,,,,,,,
LEAL,102,0.1596,,4,LAEL,L,A,E,L,,,,,,,,,,,,
CHAVES,100,0.1565,,6,SEVAHC,S,E,V,A,H,C,,,,,,,,,,
CORDEIRO,96,0.1502,,8,ORIEDROC,O,R,I,E,D,R,O,C,,,,,,,,
FREIRE,96,0.1502,,6,ERIERF,E,R,I,E,R,F,,,,,,,,,,
CORREIA,96,0.1502,,7,AIERROC,A,I,E,R,R,O,C,,,,,,,,,
BASTOS,96,0.1502,,6,SOTSAB,S,O,T,S,A,B,,,,,,,,,,
COUTINHO,94,0.1471,,8,OHNITUOC,O,H,N,I,T,U,O,C,,,,,,,,
BRANDAO,94,0.1471,,7,OADNARB,O,A,D,N,A,R,B,,,,,,,,,
ASSIS,93,0.1455,,5,SISSA,S,I,S,S,A,,,,,,,,,,,
CAVALCANTI,91,0.1424,,10,ITNACLAVAC,I,T,N,A,C,L,A,V,A,C,,,,,,
LEMOS,83,0.1299,,5,SOMEL,S,O,M,E,L,,,,,,,,,,,
LUZ,82,0.1283,,3,ZUL,Z,U,L,,,,,,,,,,,,,
SALES,82,0.1283,,5,SELAS,S,E,L,A,S,,,,,,,,,,,
CARMO,81,0.1267,,5,OMRAC,O,M,R,A,C,,,,,,,,,,,
CHAGAS,81,0.1267,,6,SAGAHC,S,A,G,A,H,C,,,,,,,,,,
GUEDES,80,0.1252,,6,SEDEUG,S,E,D,E,U,G,,,,,,,,,,
ALENCAR,75,0.1173,,7,RACNELA,R,A,C,N,E,L,A,,,,,,,,,
PEIXOTO,73,0.1142,,7,OTOXIEP,O,T,O,X,I,E,P,,,,,,,,,
PACHECO,73,0.1142,,7,OCEHCAP,O,C,E,H,C,A,P,,,,,,,,,
DINIZ,72,0.1126,,5,ZINID,Z,I,N,I,D,,,,,,,,,,,
LACERDA,70,0.1095,,7,ADRECAL,A,D,R,E,C,A,L,,,,,,,,,
MESQUITA,70,0.1095,,8,ATIUQSEM,A,T,I,U,Q,S,E,M,,,,,,,,
MATTOS,68,0.1064,,6,SOTTAM,S,O,T,T,A,M,,,,,,,,,,
PASSOS,65,0.1017,,6,SOSSAP,S,O,S,S,A,P,,,,,,,,,,
ARRUDA,65,0.1017,,6,ADURRA,A,D,U,R,R,A,,,,,,,,,,
PRADO,64,0.1001,,5,ODARP,O,D,A,R,P,,,,,,,,,,,
PIMENTEL,64,0.1001,,8,LETNEMIP,L,E,T,N,E,M,I,P,,,,,,,,
LINS,64,0.1001,,4,SNIL,S,N,I,L,,,,,,,,,,,,
CAMARGO,63,0.0986,,7,OGRAMAC,O,G,R,A,M,A,C,,,,,,,,,
MARINHO,63,0.0986,,7,OHNIRAM,O,H,N,I,R,A,M,,,,,,,,,
ANJOS,62,0.0970,,5,SOJNA,S,O,J,N,A,,,,,,,,,,,
