UNOME,QTDE,PERC,PAIS,LETRAS,REV,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15
TRAGANTE,1,0.0016,,8,ETNAGART,E,T,N,A,G,A,R,T,,,,,,,,
TRAMONTIN,1,0.0016,,9,NITNOMART,N,I,T,N,O,M,A,R,T,,,,,,,
TRAMONTINI,1,0.0016,IT,10,INITNOMART,I,N,I,T,N,O,M,A,R,T,,,,,,
TRANCOSO,1,0.0016,,8,OSOCNART,O,S,O,C,N,A,R,T,,,,,,,,
PIASENTIN,1,0.0016,,9,NITNESAIP,N,I,T,N,E,S,A,I,P,,,,,,,
PIANTO,1,0.0016,,6,OTNAIP,O,T,N,A,I,P,,,,,,,,,,
PIANTI,1,0.0016,,6,ITNAIP,I,T,N,A,I,P,,,,,,,,,,
TRANCOZO,1,0.0016,,8,OZOCNART,O,Z,O,C,N,A,R,T,,,,,,,,
TRAPANI,1,0.0016,,7,INAPART,I,N,A,P,A,R,T,,,,,,,,,
TRAPPEL,1,0.0016,,7,LEPPART,L,E,P,P,A,R,T,,,,,,,,,
TRARBACH,1,0.0016,DE,8,HCABRART,H,C,A,B,R,A,R,T,,,,,,,,
PIANOWSKI,1,0.0016,,9,IKSWONAIP,I,K,S,W,O,N,A,I,P,,,,,,,
TOZZI,1,0.0016,,5,IZZOT,I,Z,Z,O,T,,,,,,,,,,,
PIAZZI,1,0.0016,,6,IZZAIP,I,Z,Z,A,I,P,,,,,,,,,,
PESCUMO,1,0.0016,,7,OMUCSEP,O,M,U,C,S,E,P,,,,,,,,,
PICADO,1,0.0016,,6,ODACIP,O,D,A,C,I,P,,,,,,,,,,
TORRESIN,1,0.0016,,8,NISERROT,N,I,S,E,R,R,O,T,,,,,,,,
TORRI,1,0.0016,,5,IRROT,I,R,R,O,T,,,,,,,,,,,
PICONI,1,0.0016,IT,6,INOCIP,I,N,O,C,I,P,,,,,,,,,,
PICOLOTTO,1,0.0016,IT,9,OTTOLOCIP,O,T,T,O,L,O,C,I,P,,,,,,,
PICOLIN,1,0.0016,,7,NILOCIP,N,I,L,O,C,I,P,,,,,,,,,
PICOLI,1,0.0016,,6,ILOCIP,I,L,O,C,I,P,,,,,,,,,,
PICININ,1,0.0016,,7,NINICIP,N,I,N,I,C,I,P,,,,,,,,,
TORTOLINI,1,0.0016,IT,9,INILOTROT,I,N,I,L,O,T,R,O,T,,,,,,,
PICHLER,1,0.0016,,7,RELHCIP,R,E,L,H,C,I,P,,,,,,,,,
TORTORELLA,1,0.0016,IT,10,ALLEROTROT,A,L,L,E,R,O,T,R,O,T,,,,,,
TOSO,1,0.0016,,4,OSOT,O,S,O,T,,,,,,,,,,,,
TOSTE,1,0.0016,,5,ETSOT,E,T,S,O,T,,,,,,,,,,,
PICHETTI,1,0.0016,IT,8,ITTEHCIP,I,T,T,E,H,C,I,P,,,,,,,,
TOTH,1,0.0016,,4,HTOT,H,T,O,T,,,,,,,,,,,,
PICCINI,1,0.0016,IT,7,INICCIP,I,N,I,C,C,I,P,,,,,,,,,
PICCIN,1,0.0016,,6,NICCIP,N,I,C,C,I,P,,,,,,,,,,
PICCHETTI,1,0.0016,IT,9,ITTEHCCIP,I,T,T,E,H,C,C,I,P,,,,,,,
PICCARDI,1,0.0016,,8,IDRACCIP,I,D,R,A,C,C,I,P,,,,,,,,
TOTI,1,0.0016,,4,ITOT,I,T,O,T,,,,,,,,,,,,
PIANI,1,0.0016,,5,INAIP,I,N,A,I,P,,,,,,,,,,,
TRATZ,1,0.0016,,5,ZTART,Z,T,A,R,T,,,,,,,,,,,
PIANA,1,0.0016,,5,ANAIP,A,N,A,I,P,,,,,,,,,,,
TRAVAGIN,1,0.0016,,8,NIGAVART,N,I,G,A,V,A,R,T,,,,,,,,
PETRIBU,1,0.0016,,7,UBIRTEP,U,B,I,R,T,E,P,,,,,,,,,
TREVISOL,1,0.0016,,8,LOSIVERT,L,O,S,I,V,E,R,T,,,,,,,,
TREVIZAN,1,0.0016,,8,NAZIVERT,N,A,Z,I,V,E,R,T,,,,,,,,
TREVIZANO,1,0.0016,,9,ONAZIVERT,O,N,A,Z,I,V,E,R,T,,,,,,,
TRIANOSKI,1,0.0016,,9,IKSONAIRT,I,K,S,O,N,A,I,R,T,,,,,,,
PETIT,1,0.0016,,5,TITEP,T,I,T,E,P,,,,,,,,,,,
TRIBECK,1,0.0016,,7,KCEBIRT,K,C,E,B,I,R,T,,,,,,,,,
PETIOT,1,0.0016,FR,6,TOITEP,T,O,I,T,E,P,,,,,,,,,,
PETILLO,1,0.0016,ES,7,OLLITEP,O,L,L,I,T,E,P,,,,,,,,,
TRIBESS,1,0.0016,,7,SSEBIRT,S,S,E,B,I,R,T,,,,,,,,,
PETERKA,1,0.0016,,7,AKRETEP,A,K,R,E,T,E,P,,,,,,,,,
PETER,1,0.0016,,5,RETEP,R,E,T,E,P,,,,,,,,,,,
PETARLY,1,0.0016,,7,YLRATEP,Y,L,R,A,T,E,P,,,,,,,,,
PETARLI,1,0.0016,,7,ILRATEP,I,L,R,A,T,E,P,,,,,,,,,
TRIBUZY,1,0.0016,,7,YZUBIRT,Y,Z,U,B,I,R,T,,,,,,,,,
TRICHES,1,0.0016,,7,SEHCIRT,S,E,H,C,I,R,T,,,,,,,,,
PESSINI,1,0.0016,IT,7,INISSEP,I,N,I,S,S,E,P,,,,,,,,,
PESSI,1,0.0016,,5,ISSEP,I,S,S,E,P,,,,,,,,,,,
TRIGO,1,0.0016,,5,OGIRT,O,G,I,R,T,,,,,,,,,,,
PETRIKOWSKI,1,0.0016,,11,IKSWOKIRTEP,I,K,S,W,O,K,I,R,T,E,P,,,,,
TREVISANO,1,0.0016,,9,ONASIVERT,O,N,A,S,I,V,E,R,T,,,,,,,
TREVILATTO,1,0.0016,,10,OTTALIVERT,O,T,T,A,L,I,V,E,R,T,,,,,,
PETTERLE,1,0.0016,,8,ELRETTEP,E,L,R,E,T,T,E,P,,,,,,,,
PI,1,0.0016,,2,IP,I,P,,,,,,,,,,,,,,
TRAVALLONI,1,0.0016,IT,10,INOLLAVART,I,N,O,L,L,A,V,A,R,T,,,,,,
PHILOMENO,1,0.0016,,9,ONEMOLIHP,O,N,E,M,O,L,I,H,P,,,,,,,
PFEIFFER,1,0.0016,,8,REFFIEFP,R,E,F,F,I,E,F,P,,,,,,,,
PFALTZGRAFF,1,0.0016,,11,FFARGZTLAFP,F,F,A,R,G,Z,T,L,A,F,P,,,,,
TREDINNICK,1,0.0016,,10,KCINNIDERT,K,C,I,N,N,I,D,E,R,T,,,,,,
TREIB,1,0.0016,,5,BIERT,B,I,E,R,T,,,,,,,,,,,
TREMARIN,1,0.0016,,8,NIRAMERT,N,I,R,A,M,E,R,T,,,,,,,,
TRENO,1,0.0016,,5,ONERT,O,N,E,R,T,,,,,,,,,,,
TREULIEB,1,0.0016,,8,BEILUERT,B,E,I,L,U,E,R,T,,,,,,,,
TRENTO,1,0.0016,,6,OTNERT,O,T,N,E,R,T,,,,,,,,,,
PETRUNGARO,1,0.0016,,10,ORAGNURTEP,O,R,A,G,N,U,R,T,E,P,,,,,,
PETRUCIO,1,0.0016,,8,OICURTEP,O,I,C,U,R,T,E,P,,,,,,,,
PETRUCCI,1,0.0016,,8,ICCURTEP,I,C,C,U,R,T,E,P,,,,,,,,
PETROVICH,1,0.0016,,9,HCIVORTEP,H,C,I,V,O,R,T,E,P,,,,,,,
TRESCA,1,0.0016,,6,ACSERT,A,C,S,E,R,T,,,,,,,,,,
TRESPACH,1,0.0016,,8,HCAPSERT,H,C,A,P,S,E,R,T,,,,,,,,
TRETTER,1,0.0016,,7,RETTERT,R,E,T,T,E,R,T,,,,,,,,,
POSTAI,1,0.0016,,6,IATSOP,I,A,T,S,O,P,,,,,,,,,,
TISCHER,1,0.0016,,7,REHCSIT,R,E,H,C,S,I,T,,,,,,,,,
REVEILLEAU,1,0.0016,FR,10,UAELLIEVER,U,A,E,L,L,I,E,V,E,R,,,,,,
RATHIS,1,0.0016,,6,SIHTAR,S,I,H,T,A,R,,,,,,,,,,
TAPAJOS,1,0.0016,,7,SOJAPAT,S,O,J,A,P,A,T,,,,,,,,,
RASTELLI,1,0.0016,IT,8,ILLETSAR,I,L,L,E,T,S,A,R,,,,,,,,
TAPETY,1,0.0016,,6,YTEPAT,Y,T,E,P,A,T,,,,,,,,,,
RARO,1,0.0016,,4,ORAR,O,R,A,R,,,,,,,,,,,,
TAPIA,1,0.0016,,5,AIPAT,A,I,P,A,T,,,,,,,,,,,
TAPIAS,1,0.0016,,6,SAIPAT,S,A,I,P,A,T,,,,,,,,,,
RAQUEL,1,0.0016,,6,LEUQAR,L,E,U,Q,A,R,,,,,,,,,,
RAPPOPORT,1,0.0016,,9,TROPOPPAR,T,R,O,P,O,P,P,A,R,,,,,,,
TAPPLER,1,0.0016,,7,RELPPAT,R,E,L,P,P,A,T,,,,,,,,,
TAQUINI,1,0.0016,IT,7,INIUQAT,I,N,I,U,Q,A,T,,,,,,,,,
RAPHUL,1,0.0016,,6,LUHPAR,L,U,H,P,A,R,,,,,,,,,,
RAPESTA,1,0.0016,,7,ATSEPAR,A,T,S,E,P,A,R,,,,,,,,,
RAO,1,0.0016,,3,OAR,O,A,R,,,,,,,,,,,,,
RANZI,1,0.0016,,5,IZNAR,I,Z,N,A,R,,,,,,,,,,,
RANKIN,1,0.0016,,6,NIKNAR,N,I,K,N,A,R,,,,,,,,,,
TARAN,1,0.0016,,5,NARAT,N,A,R,A,T,,,,,,,,,,,
RANDIG,1,0.0016,,6,GIDNAR,G,I,D,N,A,R,,,,,,,,,,
RANDAL,1,0.0016,,6,LADNAR,L,A,D,N,A,R,,,,,,,,,,
RAMPINELLI,1,0.0016,IT,10,ILLENIPMAR,I,L,L,E,N,I,P,M,A,R,,,,,,
RATES,1,0.0016,,5,SETAR,S,E,T,A,R,,,,,,,,,,,
RATTI,1,0.0016,,5,ITTAR,I,T,T,A,R,,,,,,,,,,,
TARANTO,1,0.0016,,7,OTNARAT,O,T,N,A,R,A,T,,,,,,,,,
RATTMANN,1,0.0016,DE,8,NNAMTTAR,N,N,A,M,T,T,A,R,,,,,,,,
TANAN,1,0.0016,,5,NANAT,N,A,N,A,T,,,,,,,,,,,
RAZZE,1,0.0016,,5,EZZAR,E,Z,Z,A,R,,,,,,,,,,,
TANCREDI,1,0.0016,,8,IDERCNAT,I,D,E,R,C,N,A,T,,,,,,,,
RAZUCK,1,0.0016,,6,KCUZAR,K,C,U,Z,A,R,,,,,,,,,,
RAZKY,1,0.0016,,5,YKZAR,Y,K,Z,A,R,,,,,,,,,,,
TANI,1,0.0016,,4,INAT,I,N,A,T,,,,,,,,,,,,
TANIGUCHI,1,0.0016,JP,9,IHCUGINAT,I,H,C,U,G,I,N,A,T,,,,,,,
TANINI,1,0.0016,IT,6,ININAT,I,N,I,N,A,T,,,,,,,,,,
RAZENTE,1,0.0016,,7,ETNEZAR,E,T,N,E,Z,A,R,,,,,,,,,
TANNO,1,0.0016,,5,ONNAT,O,N,N,A,T,,,,,,,,,,,
RAVARA,1,0.0016,,6,ARAVAR,A,R,A,V,A,R,,,,,,,,,,
RAVANINI,1,0.0016,IT,8,ININAVAR,I,N,I,N,A,V,A,R,,,,,,,,
RAVALLEC,1,0.0016,,8,CELLAVAR,C,E,L,L,A,V,A,R,,,,,,,,
TANNURE,1,0.0016,,7,ERUNNAT,E,R,U,N,N,A,T,,,,,,,,,
TANNURI,1,0.0016,,7,IRUNNAT,I,R,U,N,N,A,T,,,,,,,,,
RAUGUST,1,0.0016,,7,TSUGUAR,T,S,U,G,U,A,R,,,,,,,,,
TANSINI,1,0.0016,IT,7,INISNAT,I,N,I,S,N,A,T,,,,,,,,,
TANUS,1,0.0016,,5,SUNAT,S,U,N,A,T,,,,,,,,,,,
RATZLAFF,1,0.0016,,8,FFALZTAR,F,F,A,L,Z,T,A,R,,,,,,,,
RAMPAZZO,1,0.0016,,8,OZZAPMAR,O,Z,Z,A,P,M,A,R,,,,,,,,
RAMONEDA,1,0.0016,,8,ADENOMAR,A,D,E,N,O,M,A,R,,,,,,,,
TAYAO,1,0.0016,,5,OAYAT,O,A,Y,A,T,,,,,,,,,,,
TASHIRO,1,0.0016,JP,7,ORIHSAT,O,R,I,H,S,A,T,,,,,,,,,
TASSO,1,0.0016,,5,OSSAT,O,S,S,A,T,,,,,,,,,,,
TATSCH,1,0.0016,,6,HCSTAT,H,C,S,T,A,T,,,,,,,,,,
RAIA,1,0.0016,,4,AIAR,A,I,A,R,,,,,,,,,,,,
RAGNINI,1,0.0016,IT,7,ININGAR,I,N,I,N,G,A,R,,,,,,,,,
RAGGI,1,0.0016,,5,IGGAR,I,G,G,A,R,,,,,,,,,,,
RAGAUSKAS,1,0.0016,,9,SAKSUAGAR,S,A,K,S,U,A,G,A,R,,,,,,,
RAFFUL,1,0.0016,,6,LUFFAR,L,U,F,F,A,R,,,,,,,,,,
RAFFAELLI,1,0.0016,IT,9,ILLEAFFAR,I,L,L,E,A,F,F,A,R,,,,,,,
TAUBNER,1,0.0016,,7,RENBUAT,R,E,N,B,U,A,T,,,,,,,,,
TAUIL,1,0.0016,,5,LIUAT,L,I,U,A,T,,,,,,,,,,,
RADONS,1,0.0016,,6,SNODAR,S,N,O,D,A,R,,,,,,,,,,
RADO,1,0.0016,,4,ODAR,O,D,A,R,,,,,,,,,,,,
TAUNAY,1,0.0016,,6,YANUAT,Y,A,N,U,A,T,,,,,,,,,,
TAVEIROS,1,0.0016,,8,SORIEVAT,S,O,R,I,E,V,A,T,,,,,,,,
TAVES,1,0.0016,,5,SEVAT,S,E,V,A,T,,,,,,,,,,,
TAVOLARI,1,0.0016,,8,IRALOVAT,I,R,A,L,O,V,A,T,,,,,,,,
RADA,1,0.0016,,4,ADAR,A,D,A,R,,,,,,,,,,,,
RACHOU,1,0.0016,,6,UOHCAR,U,O,H,C,A,R,,,,,,,,,,
RACHID,1,0.0016,,6,DIHCAR,D,I,H,C,A,R,,,,,,,,,,
RAICES,1,0.0016,,6,SECIAR,S,E,C,I,A,R,,,,,,,,,,
RAICOSKI,1,0.0016,,8,IKSOCIAR,I,K,S,O,C,I,A,R,,,,,,,,
TARDIM,1,0.0016,,6,MIDRAT,M,I,D,R,A,T,,,,,,,,,,
TASHIMA,1,0.0016,JP,7,AMIHSAT,A,M,I,H,S,A,T,,,,,,,,,
TARDIO,1,0.0016,,6,OIDRAT,O,I,D,R,A,T,,,,,,,,,,
RAMM,1,0.0016,,4,MMAR,M,M,A,R,,,,,,,,,,,,
TARDIVO,1,0.0016,,7,OVIDRAT,O,V,I,D,R,A,T,,,,,,,,,
TARGA,1,0.0016,,5,AGRAT,A,G,R,A,T,,,,,,,,,,,
TARNOPOLSKY,1,0.0016,,11,YKSLOPONRAT,Y,K,S,L,O,P,O,N,R,A,T,,,,,
RAMIA,1,0.0016,,5,AIMAR,A,I,M,A,R,,,,,,,,,,,
RAMBO,1,0.0016,,5,OBMAR,O,B,M,A,R,,,,,,,,,,,
TARRAGO,1,0.0016,,7,OGARRAT,O,G,A,R,R,A,T,,,,,,,,,
RAMBALDI,1,0.0016,,8,IDLABMAR,I,D,L,A,B,M,A,R,,,,,,,,
RAMAZZINA,1,0.0016,,9,ANIZZAMAR,A,N,I,Z,Z,A,M,A,R,,,,,,,
TARTARI,1,0.0016,,7,IRATRAT,I,R,A,T,R,A,T,,,,,,,,,
RAMALDES,1,0.0016,,8,SEDLAMAR,S,E,D,L,A,M,A,R,,,,,,,,
RAJZMAN,1,0.0016,,7,NAMZJAR,N,A,M,Z,J,A,R,,,,,,,,,
TARTARO,1,0.0016,,7,ORATRAT,O,R,A,T,R,A,T,,,,,,,,,
RAIZ,1,0.0016,,4,ZIAR,Z,I,A,R,,,,,,,,,,,,
TARTAS,1,0.0016,,6,SATRAT,S,A,T,R,A,T,,,,,,,,,,
TARUHN,1,0.0016,,6,NHURAT,N,H,U,R,A,T,,,,,,,,,,
TASCA,1,0.0016,,5,ACSAT,A,C,S,A,T,,,,,,,,,,,
TASCHETTO,1,0.0016,IT,9,OTTEHCSAT,O,T,T,E,H,C,S,A,T,,,,,,,
TANABE,1,0.0016,,6,EBANAT,E,B,A,N,A,T,,,,,,,,,,
TAMBELLI,1,0.0016,IT,8,ILLEBMAT,I,L,L,E,B,M,A,T,,,,,,,,
READI,1,0.0016,,5,IDAER,I,D,A,E,R,,,,,,,,,,,
REMBISCHEVSKI,1,0.0016,,13,IKSVEHCSIBMER,I,K,S,V,E,H,C,S,I,B,M,E,R,,,
REKOVVSKY,1,0.0016,,9,YKSVVOKER,Y,K,S,V,V,O,K,E,R,,,,,,,
REISMAN,1,0.0016,,7,NAMSIER,N,A,M,S,I,E,R,,,,,,,,,
TAGLIETA,1,0.0016,,8,ATEILGAT,A,T,E,I,L,G,A,T,,,,,,,,
TAGUCHI,1,0.0016,JP,7,IHCUGAT,I,H,C,U,G,A,T,,,,,,,,,
REISINGER,1,0.0016,DE,9,REGNISIER,R,E,G,N,I,S,I,E,R,,,,,,,
REISDORFER,1,0.0016,,10,REFRODSIER,R,E,F,R,O,D,S,I,E,R,,,,,,
TAHARA,1,0.0016,JP,6,ARAHAT,A,R,A,H,A,T,,,,,,,,,,
REINOSO,1,0.0016,,7,OSONIER,O,S,O,N,I,E,R,,,,,,,,,
TAKADA,1,0.0016,JP,6,ADAKAT,A,D,A,K,A,T,,,,,,,,,,
REINKE,1,0.0016,,6,EKNIER,E,K,N,I,E,R,,,,,,,,,,
TAKAFASHI,1,0.0016,JP,9,IHSAFAKAT,I,H,S,A,F,A,K,A,T,,,,,,,
REINERT,1,0.0016,,7,TRENIER,T,R,E,N,I,E,R,,,,,,,,,
REINERI,1,0.0016,,7,IRENIER,I,R,E,N,I,E,R,,,,,,,,,
REINA,1,0.0016,,5,ANIER,A,N,I,E,R,,,,,,,,,,,
REIMOL,1,0.0016,,6,LOMIER,L,O,M,I,E,R,,,,,,,,,,
REIMBERG,1,0.0016,DE,8,GREBMIER,G,R,E,B,M,I,E,R,,,,,,,,
REIMAO,1,0.0016,,6,OAMIER,O,A,M,I,E,R,,,,,,,,,,
REID,1,0.0016,,4,DIER,D,I,E,R,,,,,,,,,,,,
TAKANE,1,0.0016,JP,6,ENAKAT,E,N,A,K,A,T,,,,,,,,,,
TACCA,1,0.0016,,5,ACCAT,A,C,C,A,T,,,,,,,,,,,
REMEDIOS,1,0.0016,,8,SOIDEMER,S,O,I,D,E,M,E,R,,,,,,,,
TAMBASCO,1,0.0016,,8,OCSABMAT,O,C,S,A,B,M,A,T,,,,,,,,
RENAULT,1,0.0016,,7,TLUANER,T,L,U,A,N,E,R,,,,,,,,,
RETO,1,0.0016,,4,OTER,O,T,E,R,,,,,,,,,,,,
SZMIDT,1,0.0016,,6,TDIMZS,T,D,I,M,Z,S,,,,,,,,,,
SZWARCFITER,1,0.0016,,11,RETIFCRAWZS,R,E,T,I,F,C,R,A,W,Z,S,,,,,
RESSIGUIER,1,0.0016,FR,10,REIUGISSER,R,E,I,U,G,I,S,S,E,R,,,,,,
RESQUE,1,0.0016,,6,EUQSER,E,U,Q,S,E,R,,,,,,,,,,
RESENER,1,0.0016,,7,RENESER,R,E,N,E,S,E,R,,,,,,,,,
RESENDES,1,0.0016,,8,SEDNESER,S,E,D,N,E,S,E,R,,,,,,,,
SZYNWELSKI,1,0.0016,,10,IKSLEWNYZS,I,K,S,L,E,W,N,Y,Z,S,,,,,,
REPETTI,1,0.0016,IT,7,ITTEPER,I,T,T,E,P,E,R,,,,,,,,,
RENZ,1,0.0016,,4,ZNER,Z,N,E,R,,,,,,,,,,,,
TABARELLI,1,0.0016,IT,9,ILLERABAT,I,L,L,E,R,A,B,A,T,,,,,,,
TABOADA,1,0.0016,,7,ADAOBAT,A,D,A,O,B,A,T,,,,,,,,,
RENOFIO,1,0.0016,,7,OIFONER,O,I,F,O,N,E,R,,,,,,,,,
RENO,1,0.0016,,4,ONER,O,N,E,R,,,,,,,,,,,,
RENNO,1,0.0016,,5,ONNER,O,N,N,E,R,,,,,,,,,,,
RENNHACK,1,0.0016,,8,KCAHNNER,K,C,A,H,N,N,E,R,,,,,,,,
RENNER,1,0.0016,,6,RENNER,R,E,N,N,E,R,,,,,,,,,,
RENDA,1,0.0016,,5,ADNER,A,D,N,E,R,,,,,,,,,,,
TABORY,1,0.0016,,6,YROBAT,Y,R,O,B,A,T,,,,,,,,,,
REICHE,1,0.0016,,6,EHCIER,E,H,C,I,E,R,,,,,,,,,,
TAKAO,1,0.0016,JP,5,OAKAT,O,A,K,A,T,,,,,,,,,,,
REI,1,0.0016,,3,IER,I,E,R,,,,,,,,,,,,,
REHSE,1,0.0016,,5,ESHER,E,S,H,E,R,,,,,,,,,,,
REDEZ,1,0.0016,ES,5,ZEDER,Z,E,D,E,R,,,,,,,,,,,
RECOVA,1,0.0016,,6,AVOCER,A,V,O,C,E,R,,,,,,,,,,
TAMAIO,1,0.0016,,6,OIAMAT,O,I,A,M,A,T,,,,,,,,,,
RECIOLINO,1,0.0016,,9,ONILOICER,O,N,I,L,O,I,C,E,R,,,,,,,
TAMANE,1,0.0016,,6,ENAMAT,E,N,A,M,A,T,,,,,,,,,,
RECHTAND,1,0.0016,,8,DNATHCER,D,N,A,T,H,C,E,R,,,,,,,,
RECHENBERG,1,0.0016,DE,10,GREBNEHCER,G,R,E,B,N,E,H,C,E,R,,,,,,
RECHE,1,0.0016,,5,EHCER,E,H,C,E,R,,,,,,,,,,,
TAMANHO,1,0.0016,,7,OHNAMAT,O,H,N,A,M,A,T,,,,,,,,,
TAMANINI,1,0.0016,IT,8,ININAMAT,I,N,I,N,A,M,A,T,,,,,,,,
RECEPUTI,1,0.0016,,8,ITUPECER,I,T,U,P,E,C,E,R,,,,,,,,
REBOREDO,1,0.0016,,8,ODEROBER,O,D,E,R,O,B,E,R,,,,,,,,
TAMANQUEIRA,1,0.0016,,11,ARIEUQNAMAT,A,R,I,E,U,Q,N,A,M,A,T,,,,,
REBOLLO,1,0.0016,ES,7,OLLOBER,O,L,L,O,B,E,R,,,,,,,,,
TAMASAUSKAS,1,0.0016,,11,SAKSUASAMAT,S,A,K,S,U,A,S,A,M,A,T,,,,,
REBELLATO,1,0.0016,,9,OTALLEBER,O,T,A,L,L,E,B,E,R,,,,,,,
REBELATTO,1,0.0016,,9,OTTALEBER,O,T,T,A,L,E,B,E,R,,,,,,,
TAMASHIRO,1,0.0016,JP,9,ORIHSAMAT,O,R,I,H,S,A,M,A,T,,,,,,,
REALEIRO,1,0.0016,,8,ORIELAER,O,R,I,E,L,A,E,R,,,,,,,,
REDMAN,1,0.0016,,6,NAMDER,N,A,M,D,E,R,,,,,,,,,,
TALMA,1,0.0016,,5,AMLAT,A,M,L,A,T,,,,,,,,,,,
REESINK,1,0.0016,,7,KNISEER,K,N,I,S,E,E,R,,,,,,,,,
REGINO,1,0.0016,,6,ONIGER,O,N,I,G,E,R,,,,,,,,,,
REHEM,1,0.0016,,5,MEHER,M,E,H,E,R,,,,,,,,,,,
REHBEIN,1,0.0016,,7,NIEBHER,N,I,E,B,H,E,R,,,,,,,,,
TAKARADA,1,0.0016,JP,8,ADARAKAT,A,D,A,R,A,K,A,T,,,,,,,,
REGRA,1,0.0016,,5,ARGER,A,R,G,E,R,,,,,,,,,,,
TAKAYAMA,1,0.0016,JP,8,AMAYAKAT,A,M,A,Y,A,K,A,T,,,,,,,,
TAKAZAKI,1,0.0016,JP,8,IKAZAKAT,I,K,A,Z,A,K,A,T,,,,,,,,
TAKEDA,1,0.0016,JP,6,ADEKAT,A,D,E,K,A,T,,,,,,,,,,
TAKEGUMA,1,0.0016,JP,8,AMUGEKAT,A,M,U,G,E,K,A,T,,,,,,,,
TAKETANI,1,0.0016,JP,8,INATEKAT,I,N,A,T,E,K,A,T,,,,,,,,
REFLANDES,1,0.0016,,9,SEDNALFER,S,E,D,N,A,L,F,E,R,,,,,,,
TAKEY,1,0.0016,JP,5,YEKAT,Y,E,K,A,T,,,,,,,,,,,
TAKITA,1,0.0016,JP,6,ATIKAT,A,T,I,K,A,T,,,,,,,,,,
REGGIANI,1,0.0016,,8,INAIGGER,I,N,A,I,G,G,E,R,,,,,,,,
TALIBERTI,1,0.0016,,9,ITREBILAT,I,T,R,E,B,I,L,A,T,,,,,,,
REGES,1,0.0016,,5,SEGER,S,E,G,E,R,,,,,,,,,,,
TALINA,1,0.0016,,6,ANILAT,A,N,I,L,A,T,,,,,,,,,,
TALLMANN,1,0.0016,DE,8,NNAMLLAT,N,N,A,M,L,L,A,T,,,,,,,,
REGAZZI,1,0.0016,,7,IZZAGER,I,Z,Z,A,G,E,R,,,,,,,,,
TAXWEILER,1,0.0016,,9,RELIEWXAT,R,E,L,I,E,W,X,A,T,,,,,,,
TEBA,1,0.0016,,4,ABET,A,B,E,T,,,,,,,,,,,,
POTENCIANO,1,0.0016,,10,ONAICNETOP,O,N,A,I,C,N,E,T,O,P,,,,,,
PROLLA,1,0.0016,,6,ALLORP,A,L,L,O,R,P,,,,,,,,,,
PROITE,1,0.0016,,6,ETIORP,E,T,I,O,R,P,,,,,,,,,,
THORNE,1,0.0016,,6,ENROHT,E,N,R,O,H,T,,,,,,,,,,
PROCOPIAK,1,0.0016,,9,KAIPOCORP,K,A,I,P,O,C,O,R,P,,,,,,,
THULER,1,0.0016,,6,RELUHT,R,E,L,U,H,T,,,,,,,,,,
PROCKNOV,1,0.0016,,8,VONKCORP,V,O,N,K,C,O,R,P,,,,,,,,
THUM,1,0.0016,,4,MUHT,M,U,H,T,,,,,,,,,,,,
PROCASKO,1,0.0016,,8,OKSACORP,O,K,S,A,C,O,R,P,,,,,,,,
PROCACI,1,0.0016,,7,ICACORP,I,C,A,C,O,R,P,,,,,,,,,
THURLER,1,0.0016,,7,RELRUHT,R,E,L,R,U,H,T,,,,,,,,,
THYLIA,1,0.0016,,6,AILYHT,A,I,L,Y,H,T,,,,,,,,,,
PROBST,1,0.0016,,6,TSBORP,T,S,B,O,R,P,,,,,,,,,,
PRITZ,1,0.0016,,5,ZTIRP,Z,T,I,R,P,,,,,,,,,,,
PRIOR,1,0.0016,,5,ROIRP,R,O,I,R,P,,,,,,,,,,,
PRINCEPE,1,0.0016,,8,EPECNIRP,E,P,E,C,N,I,R,P,,,,,,,,
PRINA,1,0.0016,,5,ANIRP,A,N,I,R,P,,,,,,,,,,,
TIBAES,1,0.0016,,6,SEABIT,S,E,A,B,I,T,,,,,,,,,,
TIBIRICA,1,0.0016,,8,ACIRIBIT,A,C,I,R,I,B,I,T,,,,,,,,
PRICKEN,1,0.0016,,7,NEKCIRP,N,E,K,C,I,R,P,,,,,,,,,
PRIANTI,1,0.0016,,7,ITNAIRP,I,T,N,A,I,R,P,,,,,,,,,
PROLA,1,0.0016,,5,ALORP,A,L,O,R,P,,,,,,,,,,,
PRONK,1,0.0016,,5,KNORP,K,N,O,R,P,,,,,,,,,,,
PREUSS,1,0.0016,,6,SSUERP,S,S,U,E,R,P,,,,,,,,,,
PROPATO,1,0.0016,,7,OTAPORP,O,T,A,P,O,R,P,,,,,,,,,
PUGA,1,0.0016,,4,AGUP,A,G,U,P,,,,,,,,,,,,
THEODULINO,1,0.0016,,10,ONILUDOEHT,O,N,I,L,U,D,O,E,H,T,,,,,,
THEOPHILO,1,0.0016,,9,OLIHPOEHT,O,L,I,H,P,O,E,H,T,,,,,,,
THESARI,1,0.0016,,7,IRASEHT,I,R,A,S,E,H,T,,,,,,,,,
PUENTE,1,0.0016,,6,ETNEUP,E,T,N,E,U,P,,,,,,,,,,
PUCHEU,1,0.0016,FR,6,UEHCUP,U,E,H,C,U,P,,,,,,,,,,
