UNOME,QTDE,PERC
FILHA,8,0.0125
ADAO,8,0.0125
AUGUSTO,8,0.0125
COTRIM,8,0.0125
RITA,8,0.0125
SATO,8,0.0125
BARBIERI,8,0.0125
MATHIAS,7,0.0110
RODRIGUEZ,7,0.0110
MATEUS,7,0.0110
BRAUN,7,0.0110
NAVARRO,7,0.0110
REBELLO,7,0.0110
FELICIANO,7,0.0110
ACOSTA,7,0.0110
TENORIO,7,0.0110
FEIJO,7,0.0110
BARROZO,7,0.0110
RAIMUNDO,7,0.0110
FLOR,7,0.0110
FONTANA,7,0.0110
QUEIROS,7,0.0110
FRAGOSO,7,0.0110
SEREJO,7,0.0110
CIRILO,7,0.0110
BARATA,7,0.0110
FLORENTINO,7,0.0110
BARREIRA,7,0.0110
SILVESTRE,7,0.0110
LIBORIO,7,0.0110
SOBREIRA,7,0.0110
BENTES,7,0.0110
BIANCO,7,0.0110
HONORATO,7,0.0110
HONORIO,7,0.0110
GUTIERREZ,7,0.0110
RUSSO,7,0.0110
MONTES,7,0.0110
ORTEGA,7,0.0110
BAIA,7,0.0110
PEQUENO,7,0.0110
GUALBERTO,7,0.0110
VINHAS,7,0.0110
CARREIRO,7,0.0110
GUERREIRO,7,0.0110
LEMES,7,0.0110
LONGO,7,0.0110
SORIANO,7,0.0110
CARRIJO,7,0.0110
ANDRE,7,0.0110
VITORIA,7,0.0110
TOME,7,0.0110
GERALDO,7,0.0110
ROQUE,7,0.0110
PALMEIRA,7,0.0110
SMITH,7,0.0110
RORIZ,7,0.0110
LUCIO,7,0.0110
SANDES,7,0.0110
BACELAR,7,0.0110
VALADARES,7,0.0110
HOFFMANN,7,0.0110
CASAGRANDE,6,0.0094
REAL,6,0.0094
PALHETA,6,0.0094
VALERIO,6,0.0094
BEVILAQUA,6,0.0094
JUCA,6,0.0094
CARVALHAES,6,0.0094
NOVA,6,0.0094
PATROCINIO,6,0.0094
PECANHA,6,0.0094
CAIXETA,6,0.0094
PERDIGAO,6,0.0094
FIDELIS,6,0.0094
RUIZ,6,0.0094
BRASILEIRO,6,0.0094
JACQUES,6,0.0094
GARCES,6,0.0094
OMENA,6,0.0094
SANCHEZ,6,0.0094
PITA,6,0.0094
FROSSARD,6,0.0094
PINA,6,0.0094
ROSSO,6,0.0094
DRUMOND,6,0.0094
NOLASCO,6,0.0094
ROZA,6,0.0094
DORIA,6,0.0094
TREVISAN,6,0.0094
GREGORIO,6,0.0094
JORDAO,6,0.0094
RABELLO,6,0.0094
BULHOES,6,0.0094
ESCOBAR,6,0.0094
FLORIANO,6,0.0094
TINOCO,6,0.0094
SAITO,6,0.0094
FACANHA,6,0.0094
AGUILAR,6,0.0094
AMANCIO,6,0.0094
NICACIO,6,0.0094
NICOLAU,6,0.0094
CRISPIM,6,0.0094
ZAGO,6,0.0094
MACENA,6,0.0094
LEME,6,0.0094
NEGRAO,6,0.0094
SCHMITZ,6,0.0094
AFFONSO,6,0.0094
COLOMBO,6,0.0094
MAMEDE,6,0.0094
MERCES,6,0.0094
MARIZ,6,0.0094
CURADO,6,0.0094
MACIEIRA,6,0.0094
VILHENA,6,0.0094
MADRUGA,6,0.0094
CLAUDINO,6,0.0094
MANHAES,6,0.0094
LYRIO,6,0.0094
MILITAO,6,0.0094
AMERICO,6,0.0094
WERNECK,6,0.0094
MAEDA,6,0.0094
CELESTINO,6,0.0094
KRUGER,6,0.0094
VICTOR,6,0.0094
ESPOSITO,5,0.0078
BRILHANTE,5,0.0078
PACIFICO,5,0.0078
CACERES,5,0.0078
PEGO,5,0.0078
ARRAES,5,0.0078
